,Opposition,Distance,HSR,Sprint,Accelerations,Decelerations,Jumps,match_id,season_name,team,opposition_team,goals_scored,goals_conceded,np_xg,np_xg_conceded,shots,shots_on_target,opposition_shots,opposition_shots_on_target,passes,opposition_passes,completed_passes_into_the_box,pressures,pressure_regains,fouls,tackles,yellow_cards,xg_within_8_seconds_of_corner,xg_conceded_within_8_seconds_of_corner,shots_within_8_seconds_of_corner,shots_conceded_within_8_seconds_of_corner,goals_within_8_seconds_of_corner,goals_conceded_within_8_seconds_of_corner,xg_within_8_seconds_of_indirect_free_kick,xg_conceded_within_8_seconds_of_indirect_free_kick,shots_within_8_seconds_of_indirect_free_kick,shots_conceded_within_8_seconds_of_indirect_free_kick,goals_within_8_seconds_of_indirect_free_kick,goals_conceded_within_8_seconds_of_indirect_free_kick,possession,final_third_possession,ppda,completed_passes_and_carries_into_final_third,match_outcome,date,monte_carlo_win_prob,monte_carlo_draw_prob,monte_carlo_loss_prob,location,lineup
27,Sheffield Wednesday,97576,7009,1598,338,407,45,3766923,2021,Coventry City,Sheffield Wednesday,2,0,1.27074885,0.2502828,14,4,6,1,424,379,12,135,25,10,23,2,0.2572373,0.0776234,3,3,0,0,0.07594,0.0214558,2,1,0,0,53,52,6.448275862,27,won,27/01/2021,0.6794,0.262,0.0586,home,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.9}, {'player_id': 3355, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Center Forward', 'minutes_played': 12.0833}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 96.9}, {'player_id': 3743, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 12.0833}, {'player_id': 4365, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7644, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Back', 'minutes_played': 47.7167}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 84.8167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 96.9}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Defensive Midfield', 'minutes_played': 31.6}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 96.9}, {'player_id': 15491, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Back', 'minutes_played': 96.9}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 96.9}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 84.8167}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 65.55}, {'player_id': 29405, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 96.9}, {'player_id': 35241, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Back', 'minutes_played': 49.1833}]"
28,Birmingham,100187,6098,1253,316,370,79,3766595,2021,Coventry City,Birmingham City,1,1,1.2467809,1.3161464,13,3,12,1,423,375,8,166,35,11,24,1,0,0.6337868,0,6,0,0,0.3292224,0.161723,3,1,0,0,53,38,3.736842105,29,draw,30/01/2021,0.171,0.227,0.602,away,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 95.2167}, {'player_id': 3355, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 95.2167}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7537, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7644, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 95.2167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.2167}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Midfield', 'minutes_played': 26.7667}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 95.2167}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Back', 'minutes_played': 95.2167}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 95.2167}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 95.2167}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 68.6667}, {'player_id': 29405, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 95.2167}, {'player_id': 35241, 'squad_role': 'Starting XI', 'position': 'Right Back', 'minutes_played': 95.2167}]"
29,Notts Forest ,105195,5607,803,294,384,60,3781433,2021,Coventry City,Nottingham Forest,1,2,0.821005,0.6036109,14,4,6,1,574,371,15,103,21,13,21,1,0.0691773,0.115697,2,1,0,0,0,0,0,0,0,0,61,65,4.970588235,68,lost,02/02/2021,0.3702,0.3825,0.2473,home,"[{'player_id': 3355, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 107.317}, {'player_id': 3743, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing', 'minutes_played': 29.3667}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 107.317}, {'player_id': 7537, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Back', 'minutes_played': 58.2167}, {'player_id': 7644, 'squad_role': 'Substitution - On (Injury)', 'position': 'Left Wing', 'minutes_played': 2.81667}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 107.317}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 107.317}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 107.317}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Back', 'minutes_played': 107.317}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 107.317}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 75.1333}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 49.1}, {'player_id': 29405, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Center Midfield', 'minutes_played': 58.2167}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 107.317}, {'player_id': 35241, 'squad_role': 'Starting XI', 'position': 'Right Back', 'minutes_played': 49.1}, {'player_id': 47311, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
30,Watford,106034,7621,1700,292,386,66,3766996,2021,Coventry City,Watford,0,0,1.0946988,0.9555222,14,6,14,2,423,477,7,138,23,13,17,0,0.0128857,0,1,0,0,0,0.5170435,0.021515,3,1,0,0,47,40,10,43,draw,06/02/2021,0.3905,0.3182,0.2913,home,"[{'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 96.2}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 96.2}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.2}, {'player_id': 7537, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 67.3333}, {'player_id': 7644, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 9709, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 96.2}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 96.2}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Attacking Midfield', 'minutes_played': 10.2667}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 86.8333}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 96.2}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 86.8333}, {'player_id': 29040, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Defensive Midfield', 'minutes_played': 9.66667}, {'player_id': 29405, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 96.2}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 96.2}, {'player_id': 32261, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 35241, 'squad_role': 'Substitution - On (Injury)', 'position': 'Right Wing Back', 'minutes_played': 29.7667}, {'player_id': 47311, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
31,Cardiff,104480,6418,1031,323,389,35,3766994,2021,Coventry City,Cardiff City,1,3,1.95710668,1.3058949,21,5,8,3,563,320,13,147,36,11,22,1,0.024184,0,1,0,0,0,0.4993759,0.0625978,4,1,1,1,64,62,8.388888889,48,lost,13/02/2021,0.5133,0.2701,0.2166,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 95.1667}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 95.1667}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 95.1667}, {'player_id': 7537, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 95.1667}, {'player_id': 9276, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Attacking Midfield', 'minutes_played': 33.8}, {'player_id': 9709, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Back', 'minutes_played': 33.5833}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 80.3667}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.1667}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing Back', 'minutes_played': 14.7833}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Attacking Midfield', 'minutes_played': 61.3667}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 80.3833}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Left Attacking Midfield', 'minutes_played': 95.1667}, {'player_id': 29040, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Forward', 'minutes_played': 15.1}, {'player_id': 29363, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 95.1667}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 61.5833}, {'player_id': 35241, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
32,Norwich,109655,6623,1096,320,446,32,3766666,2021,Coventry City,Norwich City,0,2,1.0757848,1.5407657,10,4,13,5,362,651,5,175,30,23,23,1,0.0234561,0.2653923,1,3,0,0,0,0.0374878,0,1,0,0,36,44,11.07894737,36,lost,17/02/2021,0.2431,0.2758,0.4811,home,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.4333}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 47.2}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 79.3833}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7537, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 59.4667}, {'player_id': 9276, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 65.4}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 96.4333}, {'player_id': 10026, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Defensive Midfield', 'minutes_played': 49.2333}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 96.4333}, {'player_id': 10781, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 96.4333}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 96.4333}, {'player_id': 15811, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 17.05}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 96.4333}, {'player_id': 29040, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing', 'minutes_played': 31.1667}, {'player_id': 29363, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 47.2}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Back', 'minutes_played': 49.2333}, {'player_id': 35241, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 36.9667}]"
33,Brentford,102695,6876,1232,343,441,38,3766617,2021,Coventry City,Brentford,2,0,0.8287951,0.6574938,10,4,10,2,292,500,8,190,25,17,17,2,0.361191,0.105455,2,1,0,0,0.1238262,0.2124017,2,2,0,0,37,50,6.173913043,27,won,20/02/2021,0.6526,0.2412,0.1062,home,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 95.4167}, {'player_id': 3355, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3386, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 33.7667}, {'player_id': 3743, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing', 'minutes_played': 16.1333}, {'player_id': 4365, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7537, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 79.3167}, {'player_id': 9276, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 79.3167}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 95.4167}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 61.4333}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.4167}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 74.4833}, {'player_id': 15811, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 61.65}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 95.4167}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 95.4167}, {'player_id': 29040, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing', 'minutes_played': 33.9833}, {'player_id': 29363, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Defensive Midfield', 'minutes_played': 21.5}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 95.4167}, {'player_id': 35241, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 16.4}]"
34,Swansea,98561,6992,1324,293,397,46,3766851,2021,Coventry City,Swansea City,0,1,0.6599594,0.74524491,8,1,11,2,430,362,8,126,23,19,9,2,0,0.208652,0,1,0,1,0.156855,0,1,0,0,0,54,51,8.9,29,lost,24/02/2021,0.2846,0.382,0.3334,away,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 97.65}, {'player_id': 3355, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3386, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 31.3}, {'player_id': 3743, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Attacking Midfield', 'minutes_played': 12.7833}, {'player_id': 4365, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7537, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 47.05}, {'player_id': 7847, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 50.6}, {'player_id': 9276, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 97.65}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 97.65}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 67.6333}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 97.65}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 67.6333}, {'player_id': 15811, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 67.6333}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 97.65}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 84.8667}, {'player_id': 29040, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Center Forward', 'minutes_played': 30.7167}, {'player_id': 29363, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Defensive Midfield', 'minutes_played': 31.0}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 97.65}]"
35,Blackburn,100161,6792,1232,323,422,44,3766655,2021,Coventry City,Blackburn Rovers,1,1,0.6597564,0.5617219,9,2,5,2,283,564,5,159,16,13,24,1,0,0.0965127,0,2,0,0,0.0166268,0,1,0,0,0,33,36,8.459459459,29,draw,27/02/2021,0.3307,0.4135,0.2558,away,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 95.75}, {'player_id': 3355, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 71.5333}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 71.55}, {'player_id': 9276, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 78.8333}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 95.75}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 95.75}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.75}, {'player_id': 10781, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 71.5333}, {'player_id': 15304, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 25.0}, {'player_id': 15811, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 95.75}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 95.75}, {'player_id': 23399, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Attacking Midfield', 'minutes_played': 24.9833}, {'player_id': 29040, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 17.15}, {'player_id': 29363, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 83.35}, {'player_id': 35241, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 24.2}]"
36,Middlesbrough,92107,6000,1232,309,387,57,3766779,2021,Coventry City,Middlesbrough,1,2,0.3642953,1.9740325,8,0,11,2,417,371,7,131,29,15,16,1,0,0.0712351,0,1,0,0,0.0569508,0.100018,1,1,0,1,53,53,4.444444444,44,lost,02/03/2021,0.0329,0.1449,0.8222,home,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.0667}, {'player_id': 3355, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3386, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 23.3833}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7644, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 96.0667}, {'player_id': 9276, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 96.0667}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 96.0667}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 96.0667}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 96.0667}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 96.0667}, {'player_id': 15811, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 72.6833}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 96.0667}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 96.0667}, {'player_id': 29040, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29363, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 96.0667}, {'player_id': 35241, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
37,Derby,102839,7330,1436,348,435,51,3766976,2021,Coventry City,Derby County,1,0,0.9732997,0.7520882,10,4,7,1,379,479,4,171,24,12,20,2,0.2405672,0.4985402,3,2,0,0,0,0.0429285,0,1,0,0,44,45,8.322580645,34,won,06/03/2021,0.3941,0.3505,0.2554,home,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 97.8167}, {'player_id': 3355, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Midfield', 'minutes_played': 21.6333}, {'player_id': 3386, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 97.8167}, {'player_id': 4365, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 76.45}, {'player_id': 9276, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 9422, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 97.8167}, {'player_id': 10026, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 97.8167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 97.8167}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 76.45}, {'player_id': 15811, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 97.8167}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 97.8167}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 93.2333}, {'player_id': 29040, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29363, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Attacking Midfield', 'minutes_played': 4.58333}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 97.8167}, {'player_id': 35241, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 21.8333}]"
